text,intent
i need assistance setting up a different shipping address,set_up_shipping_address
need help to notify of problems with paymenst,payment_issue
help locating my bill from person name,check_invoice
i have a questio about creating gold accounts,create_account
help me to check the termination fees,check_cancellation_fee
assistance to check the eta of order order number,track_order
assistance to set a new delivery address up,set_up_shipping_address
i want assistancesubmitting the bloody new shipping address,set_up_shipping_address
i dont want my user account help cancelling it,delete_account
i am trying to see the current status of the rebate,track_refund
assistance giving a quick look at the bill 00108,check_invoice
help filing a cosnumer reclamation against ur company,complaint
i try to make a complaint,complaint
help retrieving the password of my account,recover_password
i have got to see the delivery methods can i get some help?,delivery_options
could ya help me to solve an issue with payments,payment_issue
i want assistance to restore the access key of my account,recover_password
edit account category account,edit_account
i need to unsubscribe from the newsletter,newsletter_subscription
assistance to create a standard account,create_account
i want assistance downloading invoice 00108,get_invoice
help deiting the address,change_shipping_address
i need assistance to unsubscribeto the company newsletter,newsletter_subscription
i call to check how soon can i expect my bloody item,delivery_period
i want assistance to reset the pin of my user,recover_password
is there an address to leave a comment for your company?,review
add item to order,change_order
i dfo not know what i have to do to create a account type account,create_account
help to see in what cases can i ask for a reimbursement,check_refund_policy
i dont know what to do to change to the account type account,switch_account
i have to demand rebates of my money,get_refund
where do i submit feedback about a service?,review
can you help me switching to the account type account?,switch_account
help me to see what shipping options i have,delivery_options
i have an issue submitting the new delivery address,set_up_shipping_address
edit info on freemium accunt,edit_account
i call to get my bills from person name,get_invoice
i dont know how i can inform of problems with payments,payment_issue
i want help shopping an article,place_order
assistance listing your available payment methods,check_payment_methods
want assistance to reporta payment error,payment_issue
i want assistance to check the termination peenalty,check_cancellation_fee
how could i see the payment methods?,check_payment_methods
get invoices from last purchase,get_invoice
i want help to edit the address,change_shipping_address
i need to talk to customer support how can i do it?,contact_customer_service
i do not know what i have to do to look for my bill 00108,check_invoice
help me to retrieve the pwd of my account,recover_password
give me information about signing up to your newsletter,newsletter_subscription
where do i see what hours customer assistance available is?,contact_customer_service
were could i locate purchase order number,track_order
need asistance filing a consumer claim against your business,complaint
i have problems with opening a pro account,create_account
i want assistance to solve a problem with payments,payment_issue
i cannot inform of signup issues,registration_problems
want help to inform of errors wwith registrations,registration_problems
i dont need the gold account help me close it,delete_account
can i notify of a problem with registrations?,registration_problems
i need assistance correcting purchase order number,change_order
assistance deleting the secondary account,delete_account
i need help checking how long the shipment takes,delivery_period
find bill 37777,check_invoice
i dont know how i can see my rebate current status,track_refund
i need assistance to enter m secondary delivery address,set_up_shipping_address
can i see the cancellation fees,check_cancellation_fee
help me to see in what cases can i ask for a damn refund,check_refund_policy
need assistance to check the status of order order number,track_order
can you help me leave a comment about a service?,review
correct info onpro account,edit_account
can i check the withdrawal penalty,check_cancellation_fee
how can i inform of signup issues?,registration_problems
im waiting for a restitution of currency symbolrefund amount,track_refund
i do not know what i need to do to download the bill 85632,get_invoice
is it possible to remove the account type account,delete_account
i want assistnace setting up a secondary shipping address,set_up_shipping_address
i need help to see the early exit charge,check_cancellation_fee
see in which cases can i ask for my goddamn money back,check_refund_policy
need assistance to chat with an operator,contact_human_agent
can iu talk to customer support,contact_customer_service
i want help calling customer support,contact_customer_service
want help receiving ur newsletter,newsletter_subscription
want assistgance to submit the secondary shipping address,set_up_shipping_address
could you tell me at what time i can reach customer support?,contact_customer_service
i dont know what to do to locate my bill 37777,check_invoice
i want to check the current status of the refund,track_refund
i have to check the goddamn current status of order order number,track_order
help to unsubscribe frmo your company newsletter,newsletter_subscription
